nohup: ignoring input
{"chunks": 20, "tokens": 5813215, "elapsed_sec": 0.9, "tokens_per_sec": 6793322.9}
{"chunks": 40, "tokens": 11352088, "elapsed_sec": 1.1, "tokens_per_sec": 10551848.4}
{"chunks": 60, "tokens": 17219618, "elapsed_sec": 1.4, "tokens_per_sec": 12158543.3}
{"chunks": 80, "tokens": 23052403, "elapsed_sec": 1.6, "tokens_per_sec": 14251010.2}
{"chunks": 100, "tokens": 28881267, "elapsed_sec": 1.8, "tokens_per_sec": 16025702.9}
{"chunks": 120, "tokens": 34605260, "elapsed_sec": 2.1, "tokens_per_sec": 16764118.7}
{"chunks": 140, "tokens": 40418293, "elapsed_sec": 2.4, "tokens_per_sec": 16540958.0}
{"chunks": 160, "tokens": 46334800, "elapsed_sec": 2.6, "tokens_per_sec": 17825700.2}
{"chunks": 180, "tokens": 52147444, "elapsed_sec": 2.8, "tokens_per_sec": 18826753.1}
{"chunks": 200, "tokens": 57996948, "elapsed_sec": 2.9, "tokens_per_sec": 19842793.3}
{"chunks": 220, "tokens": 63727015, "elapsed_sec": 3.1, "tokens_per_sec": 20368076.7}
{"chunks": 240, "tokens": 69536101, "elapsed_sec": 3.4, "tokens_per_sec": 20515101.5}
{"chunks": 260, "tokens": 75147786, "elapsed_sec": 3.6, "tokens_per_sec": 20937171.4}
{"chunks": 280, "tokens": 80957693, "elapsed_sec": 3.7, "tokens_per_sec": 21699795.4}
{"chunks": 300, "tokens": 86847029, "elapsed_sec": 3.9, "tokens_per_sec": 22221407.3}
{"chunks": 320, "tokens": 92798710, "elapsed_sec": 4.1, "tokens_per_sec": 22660765.6}
{"chunks": 340, "tokens": 98680664, "elapsed_sec": 4.3, "tokens_per_sec": 22940603.2}
{"chunks": 360, "tokens": 104585970, "elapsed_sec": 4.5, "tokens_per_sec": 23109390.0}
{"chunks": 380, "tokens": 110509874, "elapsed_sec": 4.8, "tokens_per_sec": 22855057.0}
{"chunks": 400, "tokens": 116538588, "elapsed_sec": 5.0, "tokens_per_sec": 23150993.3}
{"chunks": 420, "tokens": 122291324, "elapsed_sec": 5.2, "tokens_per_sec": 23654368.9}
{"chunks": 440, "tokens": 128143737, "elapsed_sec": 5.5, "tokens_per_sec": 23314643.8}
{"chunks": 460, "tokens": 134174571, "elapsed_sec": 5.7, "tokens_per_sec": 23496592.9}
{"chunks": 480, "tokens": 139937468, "elapsed_sec": 5.9, "tokens_per_sec": 23837659.1}
{"chunks": 500, "tokens": 145667183, "elapsed_sec": 6.2, "tokens_per_sec": 23598946.3}
{"chunks": 520, "tokens": 151691472, "elapsed_sec": 6.5, "tokens_per_sec": 23450170.3}
{"chunks": 540, "tokens": 157701026, "elapsed_sec": 6.7, "tokens_per_sec": 23438452.5}
{"chunks": 560, "tokens": 163523243, "elapsed_sec": 7.0, "tokens_per_sec": 23452449.8}
{"chunks": 580, "tokens": 169356777, "elapsed_sec": 7.3, "tokens_per_sec": 23242660.7}
{"chunks": 600, "tokens": 175224209, "elapsed_sec": 7.5, "tokens_per_sec": 23377615.3}
{"chunks": 620, "tokens": 181097451, "elapsed_sec": 7.7, "tokens_per_sec": 23618829.0}
{"chunks": 640, "tokens": 186917619, "elapsed_sec": 7.8, "tokens_per_sec": 23943235.8}
{"chunks": 660, "tokens": 193005223, "elapsed_sec": 8.1, "tokens_per_sec": 23876841.4}
{"chunks": 680, "tokens": 198807787, "elapsed_sec": 8.3, "tokens_per_sec": 24010155.1}
{"chunks": 700, "tokens": 204569749, "elapsed_sec": 8.7, "tokens_per_sec": 23605566.6}
{"chunks": 720, "tokens": 210595824, "elapsed_sec": 9.0, "tokens_per_sec": 23294113.5}
{"chunks": 740, "tokens": 216467438, "elapsed_sec": 9.4, "tokens_per_sec": 23009517.9}
{"chunks": 760, "tokens": 222139248, "elapsed_sec": 9.7, "tokens_per_sec": 22812486.2}
{"chunks": 780, "tokens": 228027349, "elapsed_sec": 10.1, "tokens_per_sec": 22524367.0}
{"chunks": 800, "tokens": 233917109, "elapsed_sec": 10.3, "tokens_per_sec": 22623079.8}
{"chunks": 820, "tokens": 239633664, "elapsed_sec": 10.5, "tokens_per_sec": 22772907.5}
{"chunks": 840, "tokens": 245305918, "elapsed_sec": 10.7, "tokens_per_sec": 22876615.6}
{"chunks": 860, "tokens": 251113947, "elapsed_sec": 10.9, "tokens_per_sec": 22934745.0}
{"chunks": 880, "tokens": 256878889, "elapsed_sec": 11.1, "tokens_per_sec": 23067998.6}
{"chunks": 900, "tokens": 262675357, "elapsed_sec": 11.3, "tokens_per_sec": 23192891.1}
{"chunks": 920, "tokens": 268408951, "elapsed_sec": 11.5, "tokens_per_sec": 23255969.5}
{"chunks": 940, "tokens": 274208506, "elapsed_sec": 11.6, "tokens_per_sec": 23546288.7}
